,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1992,2380,-388,14988,13951,-177,860,472,2016-06-01
1,北区,105,73,32,1030,1001,-10,19,51,2016-06-01
2,都島区,82,83,-1,578,479,-4,95,94,2016-06-01
3,福島区,74,38,36,514,408,-2,104,140,2016-06-01
4,此花区,46,60,-14,275,261,2,16,2,2016-06-01
5,中央区,83,59,24,1171,988,-40,143,167,2016-06-01
6,西区,115,52,63,901,764,-6,131,194,2016-06-01
7,港区,50,81,-31,328,334,-6,-12,-43,2016-06-01
8,大正区,35,82,-47,223,182,0,41,-6,2016-06-01
9,天王寺区,69,45,24,575,414,5,166,190,2016-06-01
10,浪速区,53,65,-12,830,802,-6,22,10,2016-06-01
11,西淀川区,75,69,6,356,370,-9,-23,-17,2016-06-01
12,淀川区,147,119,28,1233,965,-11,257,285,2016-06-01
13,東淀川区,124,154,-30,898,978,-10,-90,-120,2016-06-01
14,東成区,60,81,-21,469,448,-8,13,-8,2016-06-01
15,生野区,72,146,-74,638,566,-2,70,-4,2016-06-01
16,旭区,67,87,-20,369,407,-4,-42,-62,2016-06-01
17,城東区,122,149,-27,815,807,4,12,-15,2016-06-01
18,鶴見区,102,78,24,423,449,-1,-27,-3,2016-06-01
19,阿倍野区,81,88,-7,497,551,-22,-76,-83,2016-06-01
20,住之江区,59,113,-54,402,441,-2,-41,-95,2016-06-01
21,住吉区,90,124,-34,642,606,-1,35,1,2016-06-01
22,東住吉区,78,122,-44,536,557,-15,-36,-80,2016-06-01
23,平野区,148,197,-49,680,650,-9,21,-28,2016-06-01
24,西成区,55,215,-160,605,523,-20,62,-98,2016-06-01
