,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1933,2596,-663,18111,15576,-299,2236,1573,,,2018-11-01
1,北区,142,78,64,1207,897,-35,275,339,,,2018-11-01
2,都島区,70,83,-13,585,561,-8,16,3,,,2018-11-01
3,福島区,83,57,26,575,485,-6,84,110,,,2018-11-01
4,此花区,46,66,-20,276,270,-3,3,-17,,,2018-11-01
5,中央区,87,60,27,1268,1110,-14,144,171,,,2018-11-01
6,西区,92,60,32,1033,873,-4,156,188,,,2018-11-01
7,港区,52,80,-28,432,399,-8,25,-3,,,2018-11-01
8,大正区,38,67,-29,193,239,-12,-58,-87,,,2018-11-01
9,天王寺区,65,52,13,592,499,-10,83,96,,,2018-11-01
10,浪速区,60,65,-5,1165,906,-11,248,243,,,2018-11-01
11,西淀川区,54,85,-31,588,432,-9,147,116,,,2018-11-01
12,淀川区,113,146,-33,1250,1194,-45,11,-22,,,2018-11-01
13,東淀川区,116,141,-25,1066,1035,-15,16,-9,,,2018-11-01
14,東成区,61,75,-14,779,693,0,86,72,,,2018-11-01
15,生野区,72,164,-92,1026,662,-5,359,267,,,2018-11-01
16,旭区,56,96,-40,405,398,-10,-3,-43,,,2018-11-01
17,城東区,131,149,-18,896,816,0,80,62,,,2018-11-01
18,鶴見区,108,84,24,504,428,2,78,102,,,2018-11-01
19,阿倍野区,69,102,-33,638,507,-21,110,77,,,2018-11-01
20,住之江区,87,119,-32,427,453,1,-25,-57,,,2018-11-01
21,住吉区,107,152,-45,793,704,-3,86,41,,,2018-11-01
22,東住吉区,71,143,-72,602,577,-24,1,-71,,,2018-11-01
23,平野区,119,215,-96,849,828,-2,19,-77,,,2018-11-01
24,西成区,34,257,-223,962,610,-57,295,72,,,2018-11-01
