,その他,出生,区名,増減人口,差,差.1,日付,死亡,転入,転出
0,-517,1963,総数,1578,-393,1971,2015-11-01,2356,16422,13934
1,-164,107,北区,154,42,112,2015-11-01,65,1173,897
2,-2,62,都島区,-5,-31,26,2015-11-01,93,500,472
3,-6,81,福島区,65,35,30,2015-11-01,46,472,436
4,-1,46,此花区,-17,-8,-9,2015-11-01,54,246,254
5,-63,97,中央区,286,47,239,2015-11-01,50,1263,961
6,-13,107,西区,299,54,245,2015-11-01,53,1011,753
7,-10,58,港区,-3,-16,13,2015-11-01,74,362,339
8,-2,39,大正区,-15,-33,18,2015-11-01,72,228,208
9,-1,72,天王寺区,129,29,100,2015-11-01,43,558,457
10,-32,60,浪速区,376,-2,378,2015-11-01,62,1164,754
11,-1,66,西淀川区,-18,-5,-13,2015-11-01,71,395,407
12,-21,138,淀川区,142,17,125,2015-11-01,121,1133,987
13,2,123,東淀川区,14,-12,26,2015-11-01,135,922,898
14,-25,56,東成区,-1,-15,14,2015-11-01,71,466,427
15,-45,74,生野区,53,-87,140,2015-11-01,161,798,613
16,-55,57,旭区,-48,-21,-27,2015-11-01,78,427,399
17,-6,112,城東区,97,-35,132,2015-11-01,147,846,708
18,-2,77,鶴見区,-62,4,-66,2015-11-01,73,385,449
19,-5,72,阿倍野区,250,-31,281,2015-11-01,103,711,425
20,-31,75,住之江区,-106,-34,-72,2015-11-01,109,409,450
21,-1,120,住吉区,-5,-25,20,2015-11-01,145,722,701
22,-7,73,東住吉区,-51,-63,12,2015-11-01,136,624,605
23,-12,147,平野区,1,-32,33,2015-11-01,179,782,737
24,-14,44,西成区,43,-171,214,2015-11-01,215,825,597
0,-112,1851,総数,197,-308,505,2015-12-01,2159,12787,12170
1,0,94,北区,163,31,132,2015-12-01,63,877,745
2,-3,60,都島区,0,-6,6,2015-12-01,66,441,432
3,1,62,福島区,-18,19,-37,2015-12-01,43,346,384
4,-2,47,此花区,-44,-11,-33,2015-12-01,58,200,231
5,-39,87,中央区,70,39,31,2015-12-01,48,963,893
6,2,94,西区,154,38,116,2015-12-01,56,731,617
7,-6,56,港区,19,-13,32,2015-12-01,69,317,279
8,-7,39,大正区,-61,-28,-33,2015-12-01,67,153,179
9,5,62,天王寺区,33,26,7,2015-12-01,36,430,428
10,-2,55,浪速区,180,14,166,2015-12-01,41,835,667
11,-2,57,西淀川区,-2,-34,32,2015-12-01,91,369,335
12,-19,115,淀川区,-39,-14,-25,2015-12-01,129,889,895
13,0,110,東淀川区,46,-12,58,2015-12-01,122,844,786
14,-8,61,東成区,-53,-6,-47,2015-12-01,67,321,360
15,-2,63,生野区,-138,-72,-66,2015-12-01,135,490,554
16,-1,63,旭区,-56,-24,-32,2015-12-01,87,315,346
17,0,106,城東区,74,-1,75,2015-12-01,107,679,604
18,-2,107,鶴見区,-2,23,-25,2015-12-01,84,341,364
